,Text,Author,length,preprocessed_text
0,Scoring in PROC DISCRIM is as easy as validation. Specify a valid data set name in the TESTOUT= option to save scored (classified) observations to an output data set. Testing Discriminant Functions on a New Data Set,AM,215,"['scoring', 'proc', 'discrim', 'easy', 'validation', 'specify', 'valid', 'data_set', 'name', 'testout', 'option', 'save', 'scored', 'classified', 'observation', 'output', 'data_set', 'testing', 'discriminant_function', 'new', 'data_set']"
1,"In the GLM procedure, you may have used LSMEANS and MEANS statements to generate pairwise tests of group differences for a model. However, there are many times when pairwise differences are not the tests of interest in an analysis. Particularly in multivariate analyses, testing every possible pair of groups on several dependent variables can be very inefficient. For example, you may only be interested in the difference between a control group and one of the treatments on one of your dependent measures. Or you may want to compare the average of a few different control groups to a treatment group. The CONTRAST statement enables you to test any linear combination of cell means. The ESTIMATE statement enables you to estimate any linear combination as well as conduct the test.",AM,782,"['glm', 'procedure', 'may', 'used', 'lsmeans', 'mean', 'statement', 'generate', 'pairwise', 'test', 'group', 'difference', 'model', 'however', 'many', 'time', 'pairwise', 'difference', 'test', 'interest', 'analysis', 'particularly', 'multivariate', 'analysis', 'testing', 'every', 'possible', 'pair', 'group', 'several', 'dependent', 'variable', 'inefficient', 'example', 'may', 'interested', 'difference', 'control', 'group', 'one', 'treatment', 'one', 'dependent', 'measure', 'may', 'want', 'compare', 'average', 'different', 'control', 'group', 'treatment', 'group', 'contrast', 'statement', 'enables', 'test', 'linear', 'combination', 'cell', 'mean', 'estimate', 'statement', 'enables', 'estimate', 'linear', 'combination', 'well', 'conduct', 'test']"
2,"The first problem, accuracy of the data file, is a problem for essentially any statistical analysis. Investigate summary reports using the MEANS procedure and frequency tables using the FREQ procedure. Look for observations that are outside of the reasonable range for the variables. Drop duplicated observations in the data using the SORT procedure with the NODUPKEY option. You can also use PROC FORMAT to specify a formatted value for any values of your variable that are not in a specified range or on a specified list. This enables you to quickly and easily identify many of your incorrect data values. If you find problems, document them and try to learn what caused the problem. Correct any mis- keyed values, filter out duplicated observations, and so on. !	If you are interested in learning more about screening data files for accuracy, Cody?s Data Cleaning Techniques Using SAS Software by Ron Cody or the instructor-based course Data Cleaning Techniques are strongly recommended.",AM,990,"['first', 'problem', 'accuracy', 'data', 'file', 'problem', 'essentially', 'statistical', 'analysis', 'investigate', 'summary', 'report', 'using', 'mean', 'procedure', 'frequency', 'table', 'using', 'freq', 'procedure', 'look', 'observation', 'outside', 'reasonable', 'range', 'variable', 'drop', 'duplicated', 'observation', 'data', 'using', 'sort', 'procedure', 'nodupkey', 'option', 'also', 'use', 'proc', 'format', 'specify', 'formatted', 'value', 'value', 'variable', 'specified', 'range', 'specified', 'list', 'enables', 'quickly', 'easily', 'identify', 'many', 'incorrect', 'data', 'value', 'find', 'problem', 'document', 'try', 'learn', 'caused', 'problem', 'correct', 'mi', 'keyed', 'value', 'filter', 'duplicated', 'observation', '\tif', 'interested', 'learning', 'screening', 'data', 'file', 'accuracy', 'cody', 'data', 'cleaning', 'technique', 'using', 'sa', 'software', 'ron', 'cody', 'instructorbased', 'course', 'data', 'cleaning', 'technique', 'strongly', 'recommended']"
3,"If the homogeneity of covariance matrices assumption is violated, it is possible to perform the discriminant analysis using information about each of the groups separately. In this case, a third term is added to the generalized squared distance formula: the natural log of the determinant of the covariance matrix for each group. This is known as quadratic discriminant analysis. If the determinant of a covariance matrix for a group is large, this suggests large within-group variability. Using g1(t) results in the generalized squared distance from observations to group centroids being larger for that group than for groups with smaller within-group variability. Recall in the example you saw in the first section that the control group had the widest variability on the CDA plot. The Steady group had the smallest variability. It is possible that in this example, the assumption of homogeneity of covariance matrices was violated.",AM,934,"['homogeneity', 'covariance', 'matrix', 'assumption', 'violated', 'possible', 'perform', 'discriminant_analysis', 'using', 'information', 'group', 'separately', 'case', 'third', 'term', 'added', 'generalized', 'squared', 'distance', 'formula', 'natural', 'log', 'determinant', 'covariance', 'matrix', 'group', 'known', 'quadratic', 'discriminant_analysis', 'determinant', 'covariance', 'matrix', 'group', 'large', 'suggests', 'large', 'withingroup', 'variability', 'using', 'g1t', 'result', 'generalized', 'squared', 'distance', 'observation', 'group', 'centroid', 'larger', 'group', 'group', 'smaller', 'withingroup', 'variability', 'recall', 'example', 'saw', 'first', 'section', 'control', 'group', 'widest', 'variability', 'cda', 'plot', 'steady', 'group', 'smallest', 'variability', 'possible', 'example', 'assumption', 'homogeneity', 'covariance', 'matrix', 'wa', 'violated']"
4,"With a CONTRAST statement, you specify L, in this case, a vector of coefficients for the effect to be tested. M is a transformation matrix that in this case is an identity matrix. For this reason, M is sometimes dropped from the null hypothesis specification. CONTRAST	enables you to perform custom hypothesis tests by specifying an L vector or matrix for testing the univariate hypothesis . There is no limit to the number of CONTRAST statements you can specify, but they must appear after the MODEL statement and before the MANOVA statement. ESTIMATE	enables you to estimate linear functions of the parameters by multiplying the vector L by the parameter estimate vector b resulting in Lb. There is no limit to the number of ESTIMATE statements that you can specify, but they must appear after the MODEL statement and before the MANOVA statement. ESTIMATE statements only perform 1-df univariate tests. In the CONTRAST and ESTIMATE statements, label	applies a label to the contrast (or estimate) on the output. A label is required for every contrast (or estimate) specified. Labels must be enclosed in quotes. effect	identifies an effect that appears in the MODEL statement, or the INTERCEPT effect. The INTERCEPT effect can be used when an intercept is fitted in the model. You do not need to include all effects that are in the MODEL statement. values	are constants that are elements of the L vector associated with the effect. You do not need to include trailing zeros in the L vector.",AM,1490,"['contrast', 'statement', 'specify', 'l', 'case', 'vector', 'coefficient', 'effect', 'tested', 'transformation', 'matrix', 'case', 'identity', 'matrix', 'reason', 'sometimes', 'dropped', 'null', 'hypothesis', 'specification', 'contrast\tenables', 'perform', 'custom', 'hypothesis', 'test', 'specifying', 'l', 'vector', 'matrix', 'testing', 'univariate', 'hypothesis', '', 'limit', 'number', 'contrast', 'statement', 'specify', 'must', 'appear', 'model_statement', 'manova', 'statement', 'estimate\tenables', 'estimate', 'linear', 'function', 'parameter', 'multiplying', 'vector', 'l', 'parameter_estimate', 'vector', 'b', 'resulting', 'lb', 'limit', 'number', 'estimate', 'statement', 'specify', 'must', 'appear', 'model_statement', 'manova', 'statement', 'estimate', 'statement', 'perform', '1df', 'univariate', 'test', 'contrast', 'estimate', 'statement', 'label\tapplies', 'label', 'contrast', 'estimate', 'output', 'label', 'required', 'every', 'contrast', 'estimate', 'specified', 'label', 'must', 'enclosed', 'quote', 'effect\tidentifies', 'effect', 'appears', 'model_statement', 'intercept', 'effect', 'intercept', 'effect', 'used', 'intercept', 'fitted', 'model', 'need', 'include', 'effect', 'model_statement', 'values\tare', 'constant', 'element', 'l', 'vector', 'associated', 'effect', 'need', 'include', 'trailing', 'zero', 'l', 'vector']"
5,"There are many ways to specify a contrast. Perhaps the easiest method is by using the cell means model. Writing contrasts with the cell means model enables you to specify any contrast you are interested in. However, it is very important to understand that this model specification method is used for simplifying the contrasts, and it does not generally produce an overall test of model fit that researchers are interested in. In specifying coefficients for a CONTRAST or ESTIMATE statement, ordering of the terms is determined by the order in which variables appear in the CLASS statement. The levels of each factor are expressed in alphanumeric order. ?	If you are uncertain about the order of the terms in your model, specify the SOLUTION option in the MODEL statement in PROC GLM. This will display a table of parameter estimates, and you will see the order in which the contrast terms should be specified.",AM,909,"['many', 'way', 'specify', 'contrast', 'perhaps', 'easiest', 'method', 'using', 'cell', 'mean', 'model', 'writing', 'contrast', 'cell', 'mean', 'model', 'enables', 'specify', 'contrast', 'interested', 'however', 'important', 'understand', 'model', 'specification', 'method', 'used', 'simplifying', 'contrast', 'doe', 'generally', 'produce', 'overall', 'test', 'model', 'fit', 'researcher', 'interested', 'specifying', 'coefficient', 'contrast', 'estimate', 'statement', 'ordering', 'term', 'determined', 'order', 'variable', 'appear', 'class', 'statement', 'level', 'factor', 'expressed', 'alphanumeric', 'order', '\tif', 'uncertain', 'order', 'term', 'model', 'specify', 'solution', 'option', 'model_statement', 'proc', 'glm', 'display', 'table', 'parameter_estimate', 'see', 'order', 'contrast', 'term', 'specified']"
6,"Consider an agricultural example. Suppose you were interested in predicting crop type (corn, cotton, and soybeans) based on a series of remote sensing measures. You could perform canonical correlation analysis for this data set by recoding the groups with values of 0,1 creating dummy codes, or indicator variables. You would have two indicator variables for three crops. You could treat these variables as one group, V, and the set of predictors (the remote sensing measures) as a second set of variables, W. The plot above shows the two canonical variates. Canonical correlation analysis on the data would help you find the first linear combination of each set of variables that maximizes the correlation between them, then find the second combination, uncorrelated with the first, that maximizes the correlation among the second pair of variates, and so on. Canonical correlation analysis with a set of indicator variables is the same as canonical discriminant analysis.",AM,973,"['consider', 'agricultural', 'example', 'suppose', 'interested', 'predicting', 'crop', 'type', 'corn', 'cotton', 'soybean', 'based', 'series', 'remote', 'sensing', 'measure', 'could', 'perform', 'canonical', 'correlation', 'analysis', 'data_set', 'recoding', 'group', 'value', '01', 'creating', 'dummy', 'code', 'indicator', 'variable', 'would', 'two', 'indicator', 'variable', 'three', 'crop', 'could', 'treat', 'variable', 'one', 'group', 'v', 'set', 'predictor', 'remote', 'sensing', 'measure', 'second', 'set', 'variable', 'w', 'plot', 'show', 'two', 'canonical', 'variate', 'canonical', 'correlation', 'analysis', 'data', 'would', 'help', 'find', 'first', 'linear', 'combination', 'set', 'variable', 'maximizes', 'correlation', 'find', 'second', 'combination', 'uncorrelated', 'first', 'maximizes', 'correlation', 'among', 'second', 'pair', 'variate', 'canonical', 'correlation', 'analysis', 'set', 'indicator', 'variable', 'canonical', 'discriminant_analysis']"
7,"With a CONTRAST statement, you specify L, in this case, a vector of coefficients for the effect to be tested. M is a transformation matrix that in this case is an identity matrix. For this reason, M is sometimes dropped from the null hypothesis specification. CONTRAST	enables you to perform custom hypothesis tests by specifying an L vector or matrix for testing the univariate hypothesis . There is no limit to the number of CONTRAST statements you can specify, but they must appear after the MODEL statement and before the MANOVA statement. ESTIMATE	enables you to estimate linear functions of the parameters by multiplying the vector L by the parameter estimate vector b resulting in Lb. There is no limit to the number of ESTIMATE statements that you can specify, but they must appear after the MODEL statement and before the MANOVA statement. ESTIMATE statements only perform 1-df univariate tests. In the CONTRAST and ESTIMATE statements, label	applies a label to the contrast (or estimate) on the output. A label is required for every contrast (or estimate) specified. Labels must be enclosed in quotes. effect	identifies an effect that appears in the MODEL statement, or the INTERCEPT effect. The INTERCEPT effect can be used when an intercept is fitted in the model. You do not need to include all effects that are in the MODEL statement. values	are constants that are elements of the L vector associated with the effect. You do not need to include trailing zeros in the L vector.",AM,1490,"['contrast', 'statement', 'specify', 'l', 'case', 'vector', 'coefficient', 'effect', 'tested', 'transformation', 'matrix', 'case', 'identity', 'matrix', 'reason', 'sometimes', 'dropped', 'null', 'hypothesis', 'specification', 'contrast\tenables', 'perform', 'custom', 'hypothesis', 'test', 'specifying', 'l', 'vector', 'matrix', 'testing', 'univariate', 'hypothesis', '', 'limit', 'number', 'contrast', 'statement', 'specify', 'must', 'appear', 'model_statement', 'manova', 'statement', 'estimate\tenables', 'estimate', 'linear', 'function', 'parameter', 'multiplying', 'vector', 'l', 'parameter_estimate', 'vector', 'b', 'resulting', 'lb', 'limit', 'number', 'estimate', 'statement', 'specify', 'must', 'appear', 'model_statement', 'manova', 'statement', 'estimate', 'statement', 'perform', '1df', 'univariate', 'test', 'contrast', 'estimate', 'statement', 'label\tapplies', 'label', 'contrast', 'estimate', 'output', 'label', 'required', 'every', 'contrast', 'estimate', 'specified', 'label', 'must', 'enclosed', 'quote', 'effect\tidentifies', 'effect', 'appears', 'model_statement', 'intercept', 'effect', 'intercept', 'effect', 'used', 'intercept', 'fitted', 'model', 'need', 'include', 'effect', 'model_statement', 'values\tare', 'constant', 'element', 'l', 'vector', 'associated', 'effect', 'need', 'include', 'trailing', 'zero', 'l', 'vector']"
8,"Univariate ANOVA as a method of interpreting multivariate effects often fails to produce the useful interpretation needed for data analysis. In this chapter, you will see ANOVA as a method of evaluating multivariate effects. Later you will learn to use canonical discriminant analysis to interpret multivariate group differences in a way that retains the multidimensional associations in the data. Multivariate Analysis of Variance",AM,431,"['univariate', 'anova', 'method', 'interpreting', 'multivariate', 'effect', 'often', 'fails', 'produce', 'useful', 'interpretation', 'needed', 'data', 'analysis', 'chapter', 'see', 'anova', 'method', 'evaluating', 'multivariate', 'effect', 'later', 'learn', 'use', 'canonical', 'discriminant_analysis', 'interpret', 'multivariate', 'group', 'difference', 'way', 'retains', 'multidimensional', 'association', 'data', 'multivariate', 'analysis', 'variance']"
9,"Where ANOVA tests for differences among group means, MANOVA tests for differences among the multivariate centroids of groups. In MANOVA, correlations among dependent variables can have dramatic effects on the inference based on the resulting linear model.",AM,255,"['anova', 'test', 'difference', 'among', 'group', 'mean', 'manova', 'test', 'difference', 'among', 'multivariate', 'centroid', 'group', 'manova', 'correlation', 'among', 'dependent', 'variable', 'dramatic', 'effect', 'inference', 'based', 'resulting', 'linear', 'model']"
